x,y,z
-4.92445587e+00,-4.87723758e+00,2.50214897e+01
-4.92488732e+00,-4.98093761e+00,2.47662807e+01
-4.93569989e+00,-5.09604086e+00,2.45217423e+01
-4.95697806e+00,-5.22228902e+00,2.42887588e+01
-4.98877526e+00,-5.35945382e+00,2.40682313e+01
-5.03111911e+00,-5.50732688e+00,2.38610844e+01
-5.08401531e+00,-5.66570834e+00,2.36682715e+01
-5.14744988e+00,-5.83439402e+00,2.34907797e+01
-5.22139000e+00,-6.01316139e+00,2.33296335e+01
-5.30578324e+00,-6.20175416e+00,2.31858972e+01
-5.40055552e+00,-6.39986554e+00,2.30606761e+01
-5.50560740e+00,-6.60712025e+00,2.29551149e+01
-5.62080914e+00,-6.82305520e+00,2.28703952e+01
-5.74599419e+00,-7.04709906e+00,2.28077295e+01
-5.88095137e+00,-7.27855078e+00,2.27683519e+01
-6.02541574e+00,-7.51655748e+00,2.27535061e+01
-6.17905813e+00,-7.76009201e+00,2.27644282e+01
-6.34147365e+00,-8.00793085e+00,2.28023253e+01
-6.51216912e+00,-8.25863311e+00,2.28683482e+01
-6.69054990e+00,-8.51052163e+00,2.29635593e+01
-6.87590627e+00,-8.76166751e+00,2.30888933e+01
-7.06739984e+00,-9.00987954e+00,2.32451120e+01
-7.26405061e+00,-9.25270027e+00,2.34327538e+01
-7.46472528e+00,-9.48741073e+00,2.36520768e+01
-7.66812753e+00,-9.71104587e+00,2.39029983e+01
-7.87279145e+00,-9.92042267e+00,2.41850316e+01
-8.07707885e+00,-1.01121830e+01,2.44972234e+01
-8.27918170e+00,-1.02828524e+01,2.48380937e+01
-8.47713076e+00,-1.04289160e+01,2.52055840e+01
-8.66881145e+00,-1.05469112e+01,2.55970167e+01
-8.85198771e+00,-1.06335353e+01,2.60090716e+01
-9.02433457e+00,-1.06857658e+01,2.64377842e+01
-9.18347940e+00,-1.07009889e+01,2.68785711e+01
-9.32705164e+00,-1.06771291e+01,2.73262840e+01
-9.45273992e+00,-1.06127731e+01,2.77752972e+01
-9.55835488e+00,-1.05072794e+01,2.82196256e+01
-9.64189538e+00,-1.03608643e+01,2.86530727e+01
-9.70161516e+00,-1.01746565e+01,2.90694013e+01
-9.73608644e+00,-9.95071222e+00,2.94625205e+01
-9.74425697e+00,-9.69198846e+00,2.98266763e+01
-9.72549687e+00,-9.40227129e+00,3.01566373e+01
-9.67963216e+00,-9.08606246e+00,3.04478600e+01
-9.60696251e+00,-8.74843011e+00,3.06966260e+01
-9.50826174e+00,-8.39483278e+00,3.09001400e+01
-9.38476064e+00,-8.03092801e+00,3.10565845e+01
-9.23811301e+00,-7.66237807e+00,3.11651278e+01
-9.07034679e+00,-7.29466529e+00,3.12258890e+01
-8.88380319e+00,-6.93292755e+00,3.12398628e+01
-8.68106729e+00,-6.58182274e+00,3.12088142e+01
-8.46489395e+00,-6.24542744e+00,3.11351513e+01
-8.23813295e+00,-5.92717216e+00,3.10217864e+01
-8.00365674e+00,-5.62981238e+00,3.08719952e+01
-7.76429405e+00,-5.35543230e+00,3.06892820e+01
-7.52277143e+00,-5.10547605e+00,3.04772574e+01
-7.28166454e+00,-4.88080051e+00,3.02395335e+01
-7.04335972e+00,-4.68174320e+00,2.99796378e+01
-6.81002635e+00,-4.50819920e+00,2.97009476e+01
-6.58359920e+00,-4.35970155e+00,2.94066430e+01
-6.36577022e+00,-4.23550063e+00,2.90996776e+01
-6.15798837e+00,-4.13463918e+00,2.87827640e+01
-5.96146640e+00,-4.05602034e+00,2.84583713e+01
-5.77719295e+00,-3.99846742e+00,2.81287318e+01
-5.60594883e+00,-3.96077457e+00,2.77958549e+01
-5.44832610e+00,-3.94174838e+00,2.74615452e+01
-5.30474888e+00,-3.94024079e+00,2.71274237e+01
-5.17549490e+00,-3.95517395e+00,2.67949500e+01
-5.06071702e+00,-3.98555794e+00,2.64654448e+01
-4.96046412e+00,-4.03050232e+00,2.61401118e+01
-4.87470076e+00,-4.08922243e+00,2.58200588e+01
-4.80332539e+00,-4.16104128e+00,2.55063170e+01
-4.74618690e+00,-4.24538797e+00,2.51998591e+01
-4.70309916e+00,-4.34179318e+00,2.49016156e+01
-4.67385374e+00,-4.44988238e+00,2.46124903e+01
-4.65823066e+00,-4.56936725e+00,2.43333740e+01
-4.65600720e+00,-4.70003562e+00,2.40651565e+01
-4.66696487e+00,-4.84174013e+00,2.38087390e+01
-4.69089460e+00,-4.99438590e+00,2.35650436e+01
-4.72760017e+00,-5.15791709e+00,2.33350238e+01
-4.77690004e+00,-5.33230253e+00,2.31196725e+01
-4.83862756e+00,-5.51752028e+00,2.29200299e+01
-4.91262961e+00,-5.71354093e+00,2.27371903e+01
-4.99876377e+00,-5.92030970e+00,2.25723076e+01
-5.09689396e+00,-6.13772700e+00,2.24265994e+01
-5.20688456e+00,-6.36562739e+00,2.23013496e+01
-5.32859301e+00,-6.60375682e+00,2.21979083e+01
-5.46186086e+00,-6.85174800e+00,2.21176897e+01
-5.60650324e+00,-7.10909396e+00,2.20621665e+01
-5.76229677e+00,-7.37511984e+00,2.20328604e+01
-5.92896575e+00,-7.64895330e+00,2.20313275e+01
-6.10616694e+00,-7.92949380e+00,2.20591387e+01
-6.29347272e+00,-8.21538166e+00,2.21178528e+01
-6.49035303e+00,-8.50496790e+00,2.22089830e+01
-6.69615617e+00,-8.79628610e+00,2.23339538e+01
-6.91008899e+00,-9.08702832e+00,2.24940502e+01
-7.13119689e+00,-9.37452706e+00,2.26903566e+01
-7.35834448e+00,-9.65574614e+00,2.29236863e+01
-7.59019768e+00,-9.92728338e+00,2.31945030e+01
-7.82520858e+00,-1.01853885e+01,2.35028345e+01
-8.06160423e+00,-1.04259996e+01,2.38481819e+01
-8.29738102e+00,-1.06448012e+01,2.42294281e+01
-8.53030633e+00,-1.08373067e+01,2.46447502e+01
-8.75792902e+00,-1.09989666e+01,2.50915426e+01
-8.97760056e+00,-1.11253025e+01,2.55663569e+01
-9.18650801e+00,-1.12120645e+01,2.60648691e+01
-9.38171979e+00,-1.12554073e+01,2.65818786e+01
-9.56024453e+00,-1.12520781e+01,2.71113504e+01
-9.71910228e+00,-1.11996043e+01,2.76465023e+01
-9.85540633e+00,-1.10964704e+01,2.81799420e+01
-9.96645300e+00,-1.09422684e+01,2.87038524e+01
-1.00498153e+01,-1.07378077e+01,2.92102188e+01
-1.01034356e+01,-1.04851720e+01,2.96910880e+01
-1.01257121e+01,-1.01877125e+01,3.01388441e+01
-1.01155728e+01,-9.84997422e+00,3.05464832e+01
-1.00725326e+01,-9.47755412e+00,3.09078673e+01
-9.99672820e+00,-9.07690028e+00,3.12179388e+01
-9.88892807e+00,-8.65506420e+00,3.14728804e+01
-9.75051672e+00,-8.21942434e+00,3.16702074e+01
-9.58345331e+00,-7.77740081e+00,3.18087911e+01
-9.39020752e+00,-7.33618183e+00,3.18888116e+01
-9.17367683e+00,-6.90247994e+00,3.19116500e+01
-8.93709049e+00,-6.48233234e+00,3.18797324e+01
-8.68390613e+00,-6.08095448e+00,3.17963405e+01
-8.41770506e+00,-5.70265033e+00,3.16654053e+01
-8.14209168e+00,-5.35077782e+00,3.14913006e+01
-7.86060159e+00,-5.02776372e+00,3.12786475e+01
-7.57662195e+00,-4.73515912e+00,3.10321421e+01
-7.29332619e+00,-4.47372545e+00,3.07564102e+01
-7.01362429e+00,-4.24354052e+00,3.04558936e+01
-6.74012831e+00,-4.04411492e+00,3.01347678e+01
-6.47513253e+00,-3.87451041e+00,2.97968883e+01
-6.22060654e+00,-3.73345376e+00,2.94457611e+01
-5.97819941e+00,-3.61944141e+00,2.90845355e+01
-5.74925285e+00,-3.53083188e+00,2.87160115e+01
-5.53482122e+00,-3.46592441e+00,2.83426591e+01
-5.33569654e+00,-3.42302366e+00,2.79666458e+01
-5.15243647e+00,-3.40049072e+00,2.75898679e+01
-4.98539400e+00,-3.39678183e+00,2.72139841e+01
-4.83474736e+00,-3.41047598e+00,2.68404486e+01
-4.70052932e+00,-3.44029316e+00,2.64705439e+01
-4.58265497e+00,-3.48510476e+00,2.61054102e+01
-4.48094761e+00,-3.54393759e+00,2.57460737e+01
-4.39516221e+00,-3.61597292e+00,2.53934709e+01
-4.32500646e+00,-3.70054164e+00,2.50484714e+01
-4.27015913e+00,-3.79711663e+00,2.47118975e+01
-4.23028586e+00,-3.90530292e+00,2.43845425e+01
-4.20505247e+00,-4.02482645e+00,2.40671860e+01
-4.19413585e+00,-4.15552173e+00,2.37606090e+01
-4.19723263e+00,-4.29731879e+00,2.34656068e+01
-4.21406572e+00,-4.45022951e+00,2.31830012e+01
-4.24438890e+00,-4.61433343e+00,2.29136520e+01
-4.28798964e+00,-4.78976298e+00,2.26584677e+01
-4.34469017e+00,-4.97668807e+00,2.24184157e+01
-4.41434698e+00,-5.17529972e+00,2.21945322e+01
-4.49684869e+00,-5.38579266e+00,2.19879310e+01
-4.59211249e+00,-5.60834640e+00,2.17998121e+01
-4.70007896e+00,-5.84310460e+00,2.16314693e+01
-4.82070538e+00,-6.09015236e+00,2.14842962e+01
-4.95395732e+00,-6.34949105e+00,2.13597913e+01
-5.09979863e+00,-6.62101030e+00,2.12595598e+01
-5.25817941e+00,-6.90445710e+00,2.11853134e+01
-5.42902219e+00,-7.19940159e+00,2.11388657e+01
-5.61220590e+00,-7.50519966e+00,2.11221226e+01
-5.80754771e+00,-7.82095255e+00,2.11370672e+01
-6.01478261e+00,-8.14546389e+00,2.11857361e+01
-6.23354077e+00,-8.47719504e+00,2.12701874e+01
-6.46332274e+00,-8.81422014e+00,2.13924577e+01
-6.70347284e+00,-9.15418267e+00,2.15545061e+01
-6.95315108e+00,-9.49425627e+00,2.17581459e+01
-7.21130441e+00,-9.83111311e+00,2.20049602e+01
-7.47663815e+00,-1.01609040e+01,2.22962026e+01
-7.74758914e+00,-1.04792550e+01,2.26326842e+01
-8.02230197e+00,-1.07812865e+01,2.30146466e+01
-8.29861078e+00,-1.10616599e+01,2.34416271e+01
-8.57402865e+00,-1.13146579e+01,2.39123197e+01
-8.84574758e+00,-1.15343030e+01,2.44244411e+01
-9.11065167e+00,-1.17145175e+01,2.49746123e+01
-9.36534630e+00,-1.18493249e+01,2.55582663e+01
-9.60620557e+00,-1.19330886e+01,2.61695978e+01
-9.82943952e+00,-1.19607817e+01,2.68015674e+01
-1.00311815e+01,-1.19282722e+01,2.74459731e+01
-1.02075944e+01,-1.18326067e+01,2.80935981e+01
-1.03549929e+01,-1.16722701e+01,2.87344374e+01
-1.04699766e+01,-1.14473960e+01,2.93580007e+01
-1.05495669e+01,-1.11599037e+01,2.99536771e+01
-1.05913402e+01,-1.08135421e+01,3.05111427e+01
-1.05935463e+01,-1.04138258e+01,3.10207805e+01
-1.05552052e+01,-9.96786122e+00,3.14740816e+01
-1.04761729e+01,-9.48407007e+00,3.18639933e+01
-1.03571694e+01,-8.97182878e+00,3.21851856e+01
-1.01997682e+01,-8.44105359e+00,3.24342140e+01
-1.00063453e+01,-7.90176435e+00,3.26095674e+01
-9.77999178e+00,-7.36366295e+00,3.27116032e+01
-9.52439695e+00,-6.83575823e+00,3.27423825e+01
-9.24371031e+00,-6.32606255e+00,3.27054252e+01
-8.94239162e+00,-5.84137542e+00,3.26054143e+01
-8.62505925e+00,-5.38715963e+00,3.24478767e+01
-8.29634553e+00,-4.96750604e+00,3.22388666e+01
-7.96076631e+00,-4.58517555e+00,3.19846749e+01
-7.62261011e+00,-4.24170245e+00,3.16915780e+01
-7.28584980e+00,-3.93754093e+00,3.13656365e+01
-6.95407808e+00,-3.67223712e+00,3.10125454e+01
-6.63046597e+00,-3.44461069e+00,3.06375342e+01
-6.31774252e+00,-3.25293332e+00,3.02453115e+01
-6.01819288e+00,-3.09509454e+00,2.98400456e+01
-5.73367144e+00,-2.96874899e+00,2.94253740e+01
-5.46562674e+00,-2.87144155e+00,2.90044335e+01
-5.21513475e+00,-2.80070982e+00,2.85799029e+01
-4.98293769e+00,-2.75416431e+00,2.81540536e+01
-4.76948580e+00,-2.72954857e+00,2.77288028e+01
-4.57497993e+00,-2.72478148e+00,2.73057657e+01
-4.39941345e+00,-2.73798460e+00,2.68863058e+01
-4.24261202e+00,-2.76749740e+00,2.64715794e+01
-4.10427070e+00,-2.81188271e+00,2.60625772e+01
-3.98398754e+00,-2.86992499e+00,2.56601590e+01
-3.88129362e+00,-2.94062308e+00,2.52650853e+01
